30,155,30,0
150,200,0,0
50,10,255,0
75,75,75,0
125,75,75,0
155,30,30,0
75,75,75,0
75,75,75,0
75,75,75,0
75,75,75,0
75,75,75,0
75,75,225,0
75,75,245,0
75,75,75,0
75,75,75,0
75,75,75,0
75,75,75,0
75,75,75,0
75,75,75,0
75,75,75,0
75,75,75,0
75,75,75,0
75,75,75,0
75,75,75,0
150,50,155,0
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
175,250,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,255,175,1
75,75,75,1
75,75,75,1
75,255,175,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
75,75,75,1
