35,20,0
38,100,0
36,400,0
34,850,0
39,2200,0
33,4000,0
39,9000,0
40,26000,0
41,1500,0
47,20,0
46,200,0
50,800,0
48,1500,0
49,4500,0
45,10000,0
44,50000,0
51,165000,0
-1,0,0
-1,0,0
54,1500,0
57,850,0
56,1200,0
58,1200,0
55,1800,0
59,1250,0
53,220,0
52,10000,1
60,2800,1
66,4000,1
-1,0,1
-1,0,1
65,5900,1
64,2000,1
66,100,1
76,200,1
77,900,1
78,5200,1
79,1000,1
80,500,1
81,1500,1
82,700,1
83,300,1
84,2000,1
85,500,1
86,800,1
87,300,1
88,200,1
89,400,1
90,350,1
91,5200,1
92,900,2
93,2000,2
94,2200,2
95,800,2
96,3700,2
97,500,2
98,1500,2
99,1000,2
100,1250,2
101,600,2
102,100,2
103,1000,2
104,2000,2
105,1100,2
106,5000,2
107,2000,2
108,2500,2
109,200,2
110,300,2
111,3400,2
112,3400,2
113,3000,2
114,4000,2
115,5000,2
116,10000,2
117,5000,2
